打包失败，gradle的问题,gradle的版本不对。egret导出app那边默认的是gradle-2.2-all的版本。,,
游戏的新手引导，关于mask的想法,http://bbs.egret.com/forum.php?mod=viewthread&tid=14704&highlight=,,
IOS版app使用nativesocket，接收服务器消息乱序,我们会处理这个问题,,
exml制作的问题,拽着横条拖拽上来就行了。,,
发布安卓app后微信分享问题,自己按照 android 的方式去接入微信的。 egret 提供的微信 jssdk 不支持原生,,
新手求教!在线等,删除 C:%users\你的用户名\AppData\Roaming\EgretWing 这个文件夹看看能否解决问题，删之前记得备份下以防资料丢失,,
自定义地图怎么实现,不一定非要用xml文件，一般自定义地图都是由地图编辑器生成的指定的格式文件，地图编辑器可以自己写一个，导出xml，josn或者二进制都可以,,
招人：卡牌策略H5游戏,薪资范围不写，差评,,
手机平台支持库,egret engine 里也有下载 ，ios-support  Android -support,,
releas版本的exml文件有办法编译成1个文件吗,默认的发布版本里，exml 都会被放到 thm.json 里,,
项目文本输入框，游戏界面收缩的问题,http://yjtxlib.com/_posts/input-problem.html,,
ResDeport工具用命令行发布，当文件数量很多的时候会不处理,太多确实不行，不要一下传那么多看看，比如说一次处理100个,,
Egret Wing 4.0,该问题不是wing的锅。  vscode新版的在插件方面的版本判断有问题，没有做好向下兼容。  这个问题在wing中已经修复，会在近期发布hotfix以解决该问题。,,
安卓端的websocket无法连接,这个问题我已经修复，会在下个版本发布，谢谢你的支持,,
在 EUI中编辑的动画 在程序中可以设置 循环播放么,http://bbs.egret.com/forum.php?mod=viewthread&tid=25441&highlight=%E5%BE%AA%E7%8E%AF%E6%92%AD%E6%94%BE,,
第一次来，问第一个问题,安装 TypeScript （ npm install typescript -g ） ，和 wing 里内置的 TypeScript 版本不一致，不用管它，点击忽略就可以啦,,
想问，graphic的drawRect和一像素的图片平铺，哪个效率高？,建议图片拉伸，但不是1像素图片，稍大些，比如20 * 20,,
index.html 里的game_fies的生成顺序是根据什么规则的?,http://developer.egret.com/cn/github/egret-docs/Engine2D/projectConfig/compileOrder/index.html,,
升级到新的resourcemanager，编译找不到Promise,在tsconfig.json文件里的compilerOptions下添加,,
发布web版本后，如何设置，修改单个exml，还能正常预览？,是设置过 skinname 就之前去调用了 setHotspots，如果 exml 没有加载过，肯定会报错的。如果使用到 skin 的组件，请在 childrenCreated 之后去调用,,
ios JSWTFMainThreadCaller 冲突,不会影响审核。,,
发布android release之后，图片加载不到,如果是 res 加载的，不会有这个问题。麻烦确认是加载了，还有得加载完才可用，不是调用了加载就可以获取的,,
求助鼠标移入事件。,就是这样，主要就是注意获取到正确到的内容宽高,,
BitmapData类的构造函数的参数是什么类型啊,image。还有，你创建BitmapData 做什么。,,
publish 后的页面找不到第三方库,你可以拿旧的浏览器断点看下执行时文件是不是已经确定加载完了,,
九格宫的问题,我这边是可以的，你确定打开前可以预览么？,,
打包出现问题，求救,你用命令行看看行不行,,
eui style,http://developer.egret.com/cn/github/egret-docs/Engine2D/update/update321/index.html,,
eui的作用,直接写代码不麻烦吗，拖拖拽拽才是王道啊。,,
打包时的包名如何修改,AndroidMinifest.xml文件里面，paceagename就是包名,,
有没有在安装新的资源管理框架过程中出现问题的？,我的是windows，mac的可能不一样,,
Scroller边滑动边初始化添加进去，有弄过的么,用eui里的list组件试试。,,
图片资源换皮肤的问题,添加了资源以后，复制资源名称,,
WebSocket 通讯延迟问题请教,没办法的办法，先吧没个消息大小压缩下，实在不行分消息发。,,
protobuf bytes,ArrayBuffer,,
请教下JS函数和变量命名的问题,别纠结官方了，估计是他们架构师的编码习惯问题，他们能理解就行，我们更多的是看懂，学会使用。,,
stopTick之后callback还会被执行一次,删除监听不是代表调用了这个api后，当前代码段后面不执行了，而是说不会进入到你的监听函数里了。,,
android 打包后黑屏,loaderUrl = "file:///android_asset/egret-game/launcher/native_require.js"; updateUrl = "file:///android_asset/egret-game/launcher/native_loader.js";  ,,
android打原生包之后，websocket不能接受较大的数据,Android support中webSocket数据量最大限制在128K，请您减少单次传输的数据量。,,
有关碰撞检测的问题,"shp1和shp2的坐标都是0,0，所以rect1和rect2的x,y都是0,0，这样检测返回的结果必定是true，设置shp2.x = 200，shp2.月= 200，shp2.graphics.drawRect(0,0,100,100);",,
"升级4.0以后,加载 ""config.json"" 文件失败",后面不用wing 3的控制台打命令就好了,,
怎么4.0引擎，编辑器都更新了后，建的新工程的例子还是,4.0 创建的是旧版res， 新版resourcemanager是在旧版之上更新出来的。 另外记得在 tsconfig.json 里 lib 加上 es6,,
嵌入字体没生效,Native,,
锚点设置，localToGlobal获取坐标不正确,相对坐标永远指的是锚点是（0，0）时的坐标，也就是说如果设置了锚点，填的这个坐标需要换算成锚点是（0，0）时的坐标,,
android的APK获取不了TiledMap导出的tmx文件数据,引擎版本老了，需要升级到最新的版本，目前版本已经到 3.2.4,,
什么时候才能获得loadingBg.width的值,可以看下loadingBg_png是不是有预加载,,
EUI项目为按钮添加事件报错。,需要在ui视图创建完后才可以获取组件,,
SoundChannel 结束事件只侦听一次，相信这是egret的bug,没有问题的。sound每次play生成的channel 是不一样的，第一次加的那个监听后面不可以使用的，需要重新加监听,,
list获取所有item的问题,"可以声明一个变量， 保存你当前点击的item, 当你点下一个item的时候，重置上一个item的选中状态，再设置当前item的选中效果。",,
numChildren和numElements分别是什么意思啊？,http://edn.egret.com/cn/docs/page/527,,
数组排序,银子银子,,
websocket监听问题,读取消息是按照长度读取，因为socket是流的方式，所以可能未读取的流中是多个消息，这时候应该要根据消息的长度来读取，也就是说消息过来的时候要添加一个长度信息，这样客户端根据这个长度信息来读取所需要的消息长度，才是一个完整消息,,
Egret3D是否可以添加EUI，如何添加,https://github.com/egret-labs/egret-3d/tree/master/Sample/Sample-wing-blend-egret2d/EUI-Egret3D,,
egret3d engine not found 4 version,是不是 插件和引擎没有统一版本,,
eui项目获取group中选中的radiobutton的值,设置不同的 radioGroup 不行么？,,
egret 如何使用两个或以上的资源配置文件？,null,,
微信打飞机游戏子弹与敌机碰撞应该怎么写？,把所有的子弹、灰机分别push进一个数组，碰撞检测时遍历数组检测就好，你要是用getchild之类的方法的话会死的很惨的。,,
怎么做序列帧动画,http://bbs.egret.com/thread-23073-1-1.html,,
无法找到节点所对应的类定义,麻烦吧 这句放到 skin 的第一个节点看下,,
求救助，如何设置背景为透明色,"那个值设为0x00000000，0x后面2位是透明度,再后6位随意",,
exml可以给自定义的组件传变量吗？,null,,
wind中gui组件的mask属性怎么用,Wing中没有提供可视化的编辑和预览，但是在 exml 中是能写的，写法如上,,
关于按钮点击反馈的实现,关于“按钮被点击了，应该缩放一点”，如果你不喜欢设计区的直接换图的功能，  有个办法可以实现 “点击---按钮缩-放" .  需要写几行代码（以下代码适用game库）：,,
btyeArray怎么转换成base64,http://bbs.egret.com/forum.php?mod=viewthread&tid=17806&highlight=ByteArray,,
怎么在egret里获取url所带的参数,egret.getOption("a"),,
有人用egret做过应用app么？,就找到这个还在线，googleplay要翻墙的，https://play.google.com/store/apps/details?id=net.luckywings.mobigame.h004&hl=zh-CN,,
H5发布项目，index.html未生成,你使用命令行发布看看有没有， egret publish,,
once与addEventListener,可以,,
如何监听bitmap超出屏幕,http://developer.egret.com/cn/apidoc/index/name/egret.DisplayObject#localToGlobal   ,,
华为荣耀6scrolll长图不现实,图片尺寸不要超过 2048 * 2048，,,
Egret Wing 3.2.4调试小程序问题,正常路径是这样的，/Applications/wechatwebdevtools.app/Contents/MacOS/wechatwebdevtools,,
egret有类似cocos2d的action的api吗,只有tween，egret的时间单位是ms，coco2dx是秒,,
被添加事件快要折磨的吐血了,兄弟，用错了。,,
group会阻挡按钮点击事件？,包含group添加点击事件，里面的组件都touchEnabled设置为false,,
新手求教，lakeshore的暂停与开始问题,"这是个bug, 这一两天就会解决，发布hotfix",,
egret的性能怎么这么差啊，帮看看,2*2的矩形 你拿Graph画的么?  换成png图,,
eui.ItemRenderer获取data值有延迟,dataChanged 这里可以监控data 变化,,
RES.getResByUrl如何同步,这个api是异步api，没法同步,,
为什么通过RES.getResByUrl获取的动画资源不可用,可以呀，创建动画前保证素材都加载就是了,,
使用egret.URLLoader 和RES.getResByUrl来加载外部资源,不管使用哪个，服务器最好不要限制跨域。 推荐的话还是 res,,
Egret 4.0 时代什么时候到来,年前，2 个版本左右,,
ergret的数组push函数怎么一直报错呀,数组没初始化，加个array = new Array();,,
Tween 的 set 应该如何写？求教,null,,
实现图标堆叠并居中,可以自己实现一个布局算法，替换原有提供的布局类型,,
找不到命令 ExtensionsManage！,您直接输入package命令 应该就能看到了,,
安卓打包binding.rename报错问题,你加我qq吧 815612516 把你创建的工程，就是那个基本工程发给我，我看看。可能跟gradle安装有关系。我这边在mac和win都测试下,,
引擎源码 publish.ts文件修改,直接修改 publish.js 文件吧,,
请问egret如何实现游戏排名,您打败了全国“XXX”名玩家 这种就是假的排行。事先写好分数范围，多少分击败多少人，再加个随机数就行了,,
IOS打包时，如何自定义热更新加载进度页面,ios 项目里有个 LoadingView，那个就是加载热更新zip时的界面,,
项目移动打包的时候出岔子了,support分两个，eclipse和stuido两个版本的，打包的时候要选择对才行,,
背景音乐的音量会在下次循环开始的时候重置为1,下个版本会解决,,
代码如何动态控制list里面每个ItemRendererd之间的间距,你把这个特殊的ItemRenderer单独做个类，高度设置高点不就好了。,,
微信打开游戏 会卡顿一下 但是一会就流畅了 是什么情况,是不是后台有在加载东西，删掉加载的部分试试,,
Texture Merger 的命令行到底如何用,修改系统的~/.profile,,
请问eui中使用纹理集，必须预先手动加载纹理，才能解析？,如果是通过我们工具生成的并且是用工具加入到 res.json 里的时候会自动生成的。你是不是手写的配置？,,
关于TextureMerger批量打包的问题,不行，现在 TextureMerger 一次只能打包成一个文件,,
两个不同对象怎么同时执行动画,解决方案告诉你了，你最起码试试不就知道了么~~,,
egret怎样判断实例类型？,用instanceof试试,,
egret支持关闭彩色通道？把图片设置成灰白吗？,"PC上的浏览器，手机上的浏览器，打包安卓和IOS, 这个ColorMatrixFilter滤",,
手指拖动圆盘转动  转动角度公式 大神给个吧,监听touchmove然后获取event的本地坐标相对圆环的角度，然后圆环去旋转这么多角度,,
皮肤中的多个控件在TS中加载失败,缓存问题的话，加上版本号，或者清除缓存，这种问题 一般就是 没有加载到文件,,
字符纹理集该怎么用,打包之后像普通资源一样加载，然后利用BitmapText的font还是fontFamily属性，你可以查看下api,,
背景音乐在Safair上不播放。,需要判断设备浏览器是否支持WebAudio API，关于这个属性可以查查看看！,,
引擎升级问题,右上角有个使用社区体验版你可以打开，版本更新一般第一时间是体验版,,
关于机制的问题,这个互换只是将引用互换，实际不会引起显示位置的互换。如果要位置互换，要把两个控件的位置设置成对方的位置。,,
原生IOS连接WebSocket不上,一般close 都是服务端发起的，让服务端检测看看是什么导致的,,
新手遇到格式化的问题,这个是快捷键，可以自己配置。,,
关于eui自定义布局,http://developer.egret.com/cn/apidoc/index/name/eui.DataGroup#getVirtualElementAt,,
事件监听释放的问题,需要解除事件绑定，因为事件侦听本身也会包含对象的引用，导致内存泄露,,
关于入口文件index.html自动生成js文件顺序的问题,打包成release就不会有这个问题了,,
游戏适配问题，知道的麻烦解答下,eui那种虚拟布局，要么自己代码动态修改坐标,,
progressbar使用在加载资源时，有bug,建议如果你需要加载 eui 配置素材的时候，建议不要使用 eui 来做，会很容易漏掉很多素材没有加载,,
多层UILayer嵌套 touchevent无法传递,确保每个拥有touchEnabled为True的对象，不被其他touchEnabled为True的对象遮盖，哪怕是被一个透明的对象遮盖，也无法触发低层对象的TouchEvent。,,
关于音频系统音乐缓存的问题,没有做这方面的东西，都是按照浏览器的默认机制走了。浏览器如果带了就有没有带就没有,,
微信支付怎么搞？,其实新窗口和iframe是一个道理，不过新窗口体验差一点而已，如果你要在移动端用新窗口的话就不太方便了。,,
error TS2304: Cannot find name 'DateEvent',下面还有 DataEvent 那个类，有写么？,,
eui中没有textarea吗,EditableText可编辑文本，用于显示、滚动、选择和编辑文本，也可以配合eui中的ScrollBarBase滚动条基类实现效果，具体查看eui的api,,
求教 RES.loadGroup(),原来你是考虑这个，那做成 (已经在/总共) 的显示好了呀，相对用户内容更加透明,,
Egret3D自定义三角形顶点UV的设置问题,"geom.setVerticesForIndex( 1,egret3d.VertexFormat.VF_UV1,[0,0]);//设置顶点1的UV 你这个应该是 VF_UV0 试一试",,
一个exml 里面包含一个自制的按钮皮肤，结果不能显示。,皮肤文件加载没,,
同问题 测试贴,eui项目请用创建eui项目来做，不要使用创建其他的项目再加eui库来做，那样你会忽略很多eui相关重要的结构。,,
Egret工具链用什么UI框架开发？,Egret的工具链大部分都是基于同一套桌面工具库开发的，这套桌面工具库是基于FlexLite扩展的。,,
如何将string转换成number，或者number转换成string,难道不是用 parseInt 吗,,
3d中怎么用RES加载的资源？,需要自己写管理，一次一个,,
游戏数据怎么传入数据库,HTTP的使用UrlLoader，Socket使用WebSocket,,
Egret3D中绘制自定义三角形并且纹理贴图的问题,GeometryUtil.createGeometry  创建Geometry   然后Geometry.setVerticesForIndex 设置顶点数据  Geometry.setVertexIndices设置索引数据 最后用Geomertry创建Mesh,,
游戏项目修改为EUI项目,重新创建一个 eui 项目，然后对应看吧，比较多。,,
3d使用的贴图尺寸只能使用2的n次方吗,用耗内存，不用耗cpu，不知道我这样理解对不对。,,
请问db的极速模式还有用吗？,新版普通的模式已经比之前的极速模式快了，所以就直接废弃了，直接改成使用普通方式就行,,
【Wing】Label标签无法输入"+10"这样的文字,您好这是一个bug，该问题已修复。会在本次的版本中放出。 多谢反馈,,
Wing如何用TS进行NodeJs开发呢？貌似没看到文档之类的,创建项目那里有一个NodeJS项目TypeScript的选项，你可以参考那个项目的结构,,
如何禁止LookAtController接收鼠标或者键盘时间,这个模块已经分装好了交互方式，你需要做什么样子的控制可以自己实现,,
将TextureMaterial的blendMode设置成egret3d.BlendMode.ALPHA后的异常,一对一沟通支持吧,,
DisplayObject 有没有办法把自己从父节点移除？,类似这种移除，if(my.parent  != null && my !=null){my.parent.removeChild(my)};,,
native 打包ios 怎么获取手机的分辨率,http://developer.egret.com/cn/apidoc/index/name/egret.Capabilities#boundingClientHeight,,
Egret是否支持pc键盘事件,"可以通过JS间接实现对PC端键盘事件的监听：如document.addEvent(""事件类型"",""处理函数"")",,
自定义按钮复用时无法只修改背景图片地址吗？,用Icon标记，再在自定义属性里改图片路径,,
关于ProgressBar，怎么改变填充图片,自定义一个progressBar指定自定义皮肤就可以啦,,
EgretWing-v3.2.2新建项目怎么没有“Egret游戏项目”？,如果没有安装 egret engine，如果安装了重置下引擎看下,,
骨骼动画点击事件,touchEnabled = true 呢？,,
【新人】Res加载了不存在或空的资源组,使用最新的wing3.2.2,,
egret 有判断是否某个类型的方法吗,instanceof,,
TextField和ScrollView问题,你可以试下，当进入编辑状态时禁用滚动。,,
exml设置了位置约束就不可以用缓动动画吗？,缓动动画前，把目标对象的includeInLayout设置为false就行了，注意是缓动开始前设置，这样自动布局已经应用了，会保持布局的位置开始缓动。,,
怎么获得点击屏幕的坐标点？,touchBegan(e:egret.TouchEvent)； var touchX=e.stageX;var touchY=e.stageY;,,
循环播放Twee动画抖动,麻烦提供下你的demo，以及在什么手机什么系统版本什么浏览器上测试的。,,
求个消除类游戏的源码，A闪哥的视频教程，还没出完。,源码参考,,
http请求报错IO_ERROR，status值是0不是200,"原因是服务端只在请求类型为OPTIONS时才给响应头增加了 response.headers().add(""Access-Control-Allow-Origin"", vlsOrigin); response.headers().add(""Access-Control-Allow-Methods"", ""GET, POST, PUT, DELETE, PATCH, OPTIONS""); response.headers().add(""Access-Control-Allow-Headers"", ""businessType, content-Type, messageType""); response.headers().add(""Access-Control-Max-Age"", ""3600""); 现在改为不判断请求类型，接 ...",,
我遇到的egret音效系统的问题？？？,你可以在html中，加一个audio标签，我一直这样做处理。没遇到过问题,,
怎么让项目回到之前的引擎版本,因为近期升级都是没有动过项目的，所以直接修改 egretProperties.json 然后编译引擎就行了,,
List列表的点击事件抛出后如何再次点击回收抛出的数据？,this.Sgtm = new Singleitem(this.suitlistTp.selectedItem),,
"为什么resource中加入MP3资源后iPhone不能加载,Android可以",你尝试用编辑工具把mp3换一种编码格式试试，现在ios上面的webaudio有些时候会有这个问题，我们正在全力解决中,,
Egret里怎样响应帧刷新事件,http://developer.egret.com/cn/github/egret-docs/Engine2D/timeControl/enterFrame/index.html,,
如何实现异步调用？,egret.$callAsync(),,
按钮事件触发做间隔，具体怎么实现？,timer 之类的延迟控制 200ms 就行了,,
关于egret视频里放瓶子游戏代码的问题,http://bbs.egret.com/thread-23894-1-1.html,,
关于脏矩形100%覆盖的问题,"需要在index.html修改，egret.runEgret({renderMode:""canvas"", audioType:0});",,
关于事件传值以及WebSocket发送数据问题,改动最小的方法是去掉new main然后在main里面设置,,
如何实现持续触摸,监听触摸开始和触摸结束事件,,
Egret3D改变渲染模式后帧率没有变化,egret3d只有 webgl 模式,,
JSON.parse 在APP上面是否支持,支持,,
Egret3D的帧率测不准，是做了自动跳帧吗？,这个是正常的，帧频并不是每帧间隔都是一样的，而且在正常运行下，平均值是这个,,
itemRenderer获取不到exml里已定义ID的按钮，提示undefined,"this.addEventListener(eui.UIEvent.COMPLETE, this.onLoadedUI, this);",,
关于自定义TabBar的问题？,把 config 那个放到最上面看下（image 上面）,,
怎么给exml中的图片添加缓动效果,http://developer.egret.com/cn/example/egret2d/index.html#070-tween-basic,,
关于egret调用web service的问题，请大神留步 。,egret 是基于基本的 http 请求来访问服务器的，一般其他的语言如何请求，这边也是如何请求,,
